DATE,Regular,V.Power,Non-Tax,Tax,Lottery
2/1/2016,1861.3799999999999,312.5,626.37,2867.59,41.00
2/2/2016,1566.122,164.208,590.17,2813.62,13.00
2/3/2016,1627.316,110.714,665.09,2763.05,28.00
2/4/2016,1987.52,160.05,686.2,2571.82,14.00
2/5/2016,2270.824,271.13599999999997,1371.24,3330.49,44.00
2/6/2016,1916.536,307.504,1220.74,3034.71,36.00
2/7/2016,2265.1740000000004,361.586,1323.36,3382.80,17.00
2/8/2016,1821.914,235.186,612.0,2537.59,27.00
2/9/2016,1985.798,196.942,654.65,2675.05,15.00
2/10/2016,1924.116,149.37400000000002,760.02,2547.48,23.00
2/11/2016,1574.086,233.494,655.96,3040.21,36.00
2/12/2016,1886.272,290.278,797.02,3051.43,32.00
2/13/2016,2386.484,376.28600000000006,1273.36,3594.18,49.00
2/14/2016,2127.17,213.03,1031.61,3080.67,1.00
2/15/2016,2078.746,262.554,605.04,2735.25,13.00
2/16/2016,1759.76,205.62,491.85,2766.06,33.00
2/17/2016,1517.174,196.776,591.41,2350.90,26.00
2/18/2016,1620.196,179.63400000000001,608.2,3362.05,74.00
2/19/2016,2178.69,286.95000000000005,998.48,3361.61,27.00
2/20/2016,2016.626,311.61400000000003,1163.76,3335.37,36.00
2/21/2016,1937.13,437.74,1235.11,3154.36,34.00
2/22/2016,1862.6,198.4,561.47,2724.89,43.00
2/23/2016,1951.7579999999998,252.752,539.93,2831.20,41.00
2/24/2016,1796.634,261.556,516.96,2733.42,41.00
2/25/2016,1978.11,229.73000000000002,600.72,3150.19,20.00
2/26/2016,2172.03,312.61,907.97,3277.12,14.00
2/27/2016,2239.14,358.57,1000.01,3749.36,34.00
2/28/2016,2538.57,416.26000000000005,978.46,2831.60,22.00
