DATE,Reg Volume,Plus Volume,Pre Volume,Reg $ Amount,Plus $ Amount,Premium $ Amount,Non-Tax,Taxable Sales,Lottery Sales,Tax Collected, , , , , ,Network Revenue, , , ,EBT
2/1/2016,1808.76,87.70,277.42,3941.15,208.66,687.73,626.37,2867.59,41.00,246.77,,,,,,4032.63,,,,223.95
2/2/2016,1531.46,57.77,141.10,3336.95,137.44,349.78,590.17,2813.62,13.00,241.93,,,,,,3455.33,,,,231.73
2/3/2016,1586.24,68.46,83.33,3456.33,162.86,206.58,665.09,2763.05,28.00,237.73,,,,,,3734.19,,,,185.12
2/4/2016,1935.53,86.65,125.39,4217.39,206.14,310.84,686.2,2571.82,14.00,221.21,,,,,,3941.67,,,,213.44
2/5/2016,2168.77,170.09,203.10,4707.16,404.64,501.56,1371.24,3330.49,44.00,286.38,,,,,,5680.32,,,,
2/6/2016,1852.24,107.16,264.64,3850.88,244.23,629.61,1220.74,3034.71,36.00,260.80,,,,,,5029.13,,,,387.07
2/7/2016,2168.76,160.69,297.31,4508.87,366.22,707.32,1323.36,3382.80,17.00,290.85,,,,,,6278.34,,,,373.31
2/8/2016,1775.96,76.59,204.55,3692.25,174.56,486.65,612.0,2537.59,27.00,218.25,,,,,,3826.83,,,,215.16
2/9/2016,1917.17,114.38,151.19,3985.85,260.68,359.67,654.65,2675.05,15.00,230.22,,,,,,3406.70,,,,304.21
2/10/2016,1809.45,191.11,72.93,3761.83,435.57,173.50,760.02,2547.48,23.00,219.19,,,,,,3440.73,,,,320.87
